0,0,0,0
2,1,1,0
6,5,6,1
8,4,9,1
11,6,15,1
12,4,19,1
13,5,24,1
14,9,33,1
17,23,56,1
18,30,86,1
19,12,98,5
20,33,131,5
21,6,137,8
22,54,191,8
23,71,262,9
